Product code,station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,A764,2016,10,26,36.4,1,Y
IDCJAC0010,A764,2016,10,27,30.9,1,Y
IDCJAC0010,A764,2016,10,28,30.1,1,Y
IDCJAC0010,A764,2016,10,29,32.5,1,Y
IDCJAC0010,A764,2016,10,30,35.7,1,Y
IDCJAC0010,A764,2016,10,31,34.2,1,Y
IDCJAC0010,A764,2016,11,1,28.7,1,Y
IDCJAC0010,A764,2016,11,2,32.7,1,Y
IDCJAC0010,A764,2016,11,3,27.3,1,Y
IDCJAC0010,A764,2016,11,4,27.7,1,Y
IDCJAC0010,A764,2016,11,5,31.7,1,Y
IDCJAC0010,A764,2016,11,6,31.1,1,Y
IDCJAC0010,A764,2016,11,7,31.8,1,Y
IDCJAC0010,A764,2016,11,8,32.7,1,Y
IDCJAC0010,A764,2016,11,9,33.5,1,Y
IDCJAC0010,A764,2016,11,10,34.4,1,Y
IDCJAC0010,A764,2016,11,11,33.9,1,Y
IDCJAC0010,A764,2016,11,12,30.4,1,Y
IDCJAC0010,A764,2016,11,13,22.5,1,Y
IDCJAC0010,A764,2016,11,14,25.3,1,Y
IDCJAC0010,A764,2016,11,15,30,1,Y
IDCJAC0010,A764,2016,11,16,31.4,1,Y
IDCJAC0010,A764,2016,11,17,31,1,Y
IDCJAC0010,A764,2016,11,18,30.6,1,Y
IDCJAC0010,A764,2016,11,19,26.7,1,Y
IDCJAC0010,A764,2016,11,20,30.4,1,Y
IDCJAC0010,A764,2016,11,21,30,1,Y
IDCJAC0010,A764,2016,11,22,30.8,1,Y
IDCJAC0010,A764,2016,11,23,28.3,1,Y
IDCJAC0010,A764,2016,11,24,32.8,1,Y
IDCJAC0010,A764,2016,11,25,33.4,1,Y
IDCJAC0010,A764,2016,11,26,32.7,1,Y
IDCJAC0010,A764,2016,11,27,34,1,Y
IDCJAC0010,A764,2016,11,28,33.3,1,Y
IDCJAC0010,A764,2016,11,29,33.2,1,Y
IDCJAC0010,A764,2016,11,30,30.7,1,Y
