Product code,station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,A764,2016,10,26,20.1,1,Y
IDCJAC0010,A764,2016,10,27,21,1,Y
IDCJAC0010,A764,2016,10,28,15.2,1,Y
IDCJAC0010,A764,2016,10,29,13.5,1,Y
IDCJAC0010,A764,2016,10,30,16.1,1,Y
IDCJAC0010,A764,2016,10,31,18,1,Y
IDCJAC0010,A764,2016,11,1,19.3,1,Y
IDCJAC0010,A764,2016,11,2,20.9,1,Y
IDCJAC0010,A764,2016,11,3,20,1,Y
IDCJAC0010,A764,2016,11,4,20.4,1,Y
IDCJAC0010,A764,2016,11,5,19.1,1,Y
IDCJAC0010,A764,2016,11,6,18.3,1,Y
IDCJAC0010,A764,2016,11,7,18.2,1,Y
IDCJAC0010,A764,2016,11,8,18.8,1,Y
IDCJAC0010,A764,2016,11,9,21.1,1,Y
IDCJAC0010,A764,2016,11,10,19.6,1,Y
IDCJAC0010,A764,2016,11,11,22.4,1,Y
IDCJAC0010,A764,2016,11,12,20.7,1,Y
IDCJAC0010,A764,2016,11,13,19.1,1,Y
IDCJAC0010,A764,2016,11,14,18,1,Y
IDCJAC0010,A764,2016,11,15,17.3,1,Y
IDCJAC0010,A764,2016,11,16,19.7,1,Y
IDCJAC0010,A764,2016,11,17,17.7,1,Y
IDCJAC0010,A764,2016,11,18,20.9,1,Y
IDCJAC0010,A764,2016,11,19,13.6,1,Y
IDCJAC0010,A764,2016,11,20,13.5,1,Y
IDCJAC0010,A764,2016,11,21,19.4,1,Y
IDCJAC0010,A764,2016,11,22,21.8,1,Y
IDCJAC0010,A764,2016,11,23,20,1,Y
IDCJAC0010,A764,2016,11,24,20.5,1,Y
IDCJAC0010,A764,2016,11,25,22.1,1,Y
IDCJAC0010,A764,2016,11,26,22.1,1,Y
IDCJAC0010,A764,2016,11,27,21.1,1,Y
IDCJAC0010,A764,2016,11,28,22.7,1,Y
IDCJAC0010,A764,2016,11,29,22,1,Y
IDCJAC0010,A764,2016,11,30,19.4,1,Y
IDCJAC0010,A764,2016,12,1,18.7,1,Y
IDCJAC0010,A764,2016,12,2,21.5,1,Y
IDCJAC0010,A764,2016,12,3,22.3,1,Y
IDCJAC0010,A764,2016,12,4,20.2,1,Y
IDCJAC0010,A764,2016,12,5,21,1,Y
IDCJAC0010,A764,2016,12,6,20.7,1,Y
IDCJAC0010,A764,2016,12,7,21.6,1,Y
IDCJAC0010,A764,2016,12,8,21.1,1,Y
IDCJAC0010,A764,2016,12,9,21.7,1,Y
IDCJAC0010,A764,2016,12,10,21.2,1,Y
IDCJAC0010,A764,2016,12,11,22.3,1,Y
IDCJAC0010,A764,2016,12,12,21.7,1,Y
IDCJAC0010,A764,2016,12,13,23.2,1,Y
IDCJAC0010,A764,2016,12,14,21.3,1,Y
IDCJAC0010,A764,2016,12,15,20.4,1,Y
IDCJAC0010,A764,2016,12,16,17.2,1,Y
IDCJAC0010,A764,2016,12,17,18.9,1,Y
IDCJAC0010,A764,2016,12,18,20.2,1,Y
IDCJAC0010,A764,2016,12,19,21.3,1,Y
IDCJAC0010,A764,2016,12,20,19,1,Y
IDCJAC0010,A764,2016,12,21,20.1,1,Y
IDCJAC0010,A764,2016,12,22,18.2,1,Y
IDCJAC0010,A764,2016,12,23,22,1,Y
IDCJAC0010,A764,2016,12,24,20.6,1,Y
IDCJAC0010,A764,2016,12,25,23.1,1,Y
IDCJAC0010,A764,2016,12,26,20.2,1,Y
IDCJAC0010,A764,2016,12,27,22.3,1,Y
IDCJAC0010,A764,2016,12,28,23.8,1,Y
IDCJAC0010,A764,2016,12,29,22.1,1,Y
IDCJAC0010,A764,2016,12,30,19.4,1,Y
IDCJAC0010,A764,2016,12,31,21.8,1,Y
IDCJAC0010,A764,2017,1,1,20.7,1,Y
IDCJAC0010,A764,2017,1,2,19.8,1,Y
IDCJAC0010,A764,2017,1,3,22.4,1,Y
IDCJAC0010,A764,2017,1,4,19.4,1,Y
IDCJAC0010,A764,2017,1,5,20.2,1,Y
IDCJAC0010,A764,2017,1,6,20.6,1,Y
IDCJAC0010,A764,2017,1,7,20.4,1,Y
IDCJAC0010,A764,2017,1,8,22.6,1,Y
IDCJAC0010,A764,2017,1,9,22.2,1,Y
IDCJAC0010,A764,2017,1,10,21.3,1,Y
IDCJAC0010,A764,2017,1,11,21.3,1,Y
IDCJAC0010,A764,2017,1,12,22.2,1,Y
IDCJAC0010,A764,2017,1,13,20.5,1,Y
IDCJAC0010,A764,2017,1,14,20.7,1,Y
IDCJAC0010,A764,2017,1,15,21,1,Y
IDCJAC0010,A764,2017,1,16,21,1,Y
IDCJAC0010,A764,2017,1,17,21.4,1,Y
IDCJAC0010,A764,2017,1,18,21,1,Y
IDCJAC0010,A764,2017,1,19,20.8,1,Y
IDCJAC0010,A764,2017,1,20,18.8,1,Y
IDCJAC0010,A764,2017,1,21,20.1,1,Y
IDCJAC0010,A764,2017,1,22,20.1,1,Y
IDCJAC0010,A764,2017,1,23,19.5,1,Y
IDCJAC0010,A764,2017,1,24,20.9,1,Y
IDCJAC0010,A764,2017,1,25,20.3,1,Y
IDCJAC0010,A764,2017,1,26,20.7,1,Y
IDCJAC0010,A764,2017,1,27,20,1,Y
IDCJAC0010,A764,2017,1,28,20.5,1,Y
IDCJAC0010,A764,2017,1,29,20.4,1,Y
IDCJAC0010,A764,2017,1,30,22.1,1,Y
IDCJAC0010,A764,2017,1,31,22.4,1,Y
IDCJAC0010,A764,2017,2,1,19.6,1,Y
IDCJAC0010,A764,2017,2,2,20.1,1,Y
IDCJAC0010,A764,2017,2,3,20.5,1,Y
IDCJAC0010,A764,2017,2,4,20.6,1,Y
IDCJAC0010,A764,2017,2,5,21.8,1,Y
IDCJAC0010,A764,2017,2,6,21.8,1,Y
IDCJAC0010,A764,2017,2,7,21.9,1,Y
IDCJAC0010,A764,2017,2,8,21.6,1,Y
IDCJAC0010,A764,2017,2,9,21,1,Y
IDCJAC0010,A764,2017,2,10,21.2,1,Y
IDCJAC0010,A764,2017,2,11,21.9,1,Y
IDCJAC0010,A764,2017,2,12,22.4,1,Y
IDCJAC0010,A764,2017,2,13,22.3,1,Y
IDCJAC0010,A764,2017,2,14,21.5,1,Y
IDCJAC0010,A764,2017,2,15,21.1,1,Y
IDCJAC0010,A764,2017,2,16,22.5,1,Y
IDCJAC0010,A764,2017,2,17,20.9,1,Y
IDCJAC0010,A764,2017,2,18,20.1,1,Y
IDCJAC0010,A764,2017,2,19,22.4,1,Y
IDCJAC0010,A764,2017,2,20,21.3,1,Y
IDCJAC0010,A764,2017,2,21,22.9,1,Y
IDCJAC0010,A764,2017,2,22,21.6,1,Y
IDCJAC0010,A764,2017,2,23,22,1,Y
IDCJAC0010,A764,2017,2,24,21.4,1,Y
IDCJAC0010,A764,2017,2,25,19.9,1,Y
IDCJAC0010,A764,2017,2,26,20.7,1,Y
IDCJAC0010,A764,2017,2,27,20.5,1,Y
IDCJAC0010,A764,2017,2,28,20.6,1,Y
IDCJAC0010,A764,2017,3,1,20.8,1,Y
IDCJAC0010,A764,2017,3,2,22.1,1,Y
IDCJAC0010,A764,2017,3,3,22.2,1,Y
IDCJAC0010,A764,2017,3,4,21.5,1,Y
IDCJAC0010,A764,2017,3,5,21.1,1,Y
IDCJAC0010,A764,2017,3,6,21.3,1,Y
IDCJAC0010,A764,2017,3,7,21.1,1,Y
IDCJAC0010,A764,2017,3,8,22.9,1,Y
IDCJAC0010,A764,2017,3,9,21.3,1,Y
IDCJAC0010,A764,2017,3,10,23,1,Y
IDCJAC0010,A764,2017,3,11,21.3,1,Y
IDCJAC0010,A764,2017,3,12,22.4,1,Y
IDCJAC0010,A764,2017,3,13,21.5,1,Y
IDCJAC0010,A764,2017,3,14,21.6,1,Y
IDCJAC0010,A764,2017,3,15,20.9,1,Y
IDCJAC0010,A764,2017,3,16,20.9,1,Y
IDCJAC0010,A764,2017,3,17,21.9,1,Y
